lang,raw,gold,pred_A,pred_B,is_nonstandard,A_correct,B_correct,change
en,#renaissancecity,#renaissancecity,#renaissancecity,#renaissancecity,False,True,True,both_TN
en,#rg14,#rg14,#rg14,#rg14,False,True,True,both_TN
en,#sgod,#sgod,#sgod,#sgod,False,True,True,both_TN
en,#sitonmydick,#sitonmydick,#sitonmydick,#sitonmydick,False,True,True,both_TN
en,#skysports,#skysports,#skysports,#skysports,False,True,True,both_TN
en,#smallworld,#smallworld,#smallworld,#smallworld,False,True,True,both_TN
en,#sogoodallaround,#sogoodallaround,#sogoodallaround,#sogoodallaround,False,True,True,both_TN
en,#song,#song,#song,#song,False,True,True,both_TN
en,#spurs,#spurs,#spurs,#spurs,False,True,True,both_TN
en,#swagg,#swagg,#swagg,#swagg,False,True,True,both_TN
en,#swagger,#swagger,#swagger,#swagger,False,True,True,both_TN
en,#teamdunny,#teamdunny,#teamdunny,#teamdunny,False,True,True,both_TN
en,#testibagayashop,#testibagayashop,#testibagayashop,#testibagayashop,False,True,True,both_TN
en,#thfc,#thfc,#thfc,#thfc,False,True,True,both_TN
en,#thunder,#thunder,#thunder,#thunder,False,True,True,both_TN
en,#tsunamihitsfaisalabad,#tsunamihitsfaisalabad,#tsunamihitsfaisalabad,#tsunamihitsfaisalabad,False,True,True,both_TN
en,#tv3news,#tv3news,#tv3news,#tv3news,False,True,True,both_TN
en,#watfordfc,#watfordfc,#watfordfc,#watfordfc,False,True,True,both_TN
en,#weloveyougreg,#weloveyougreg,#weloveyougreg,#weloveyougreg,False,True,True,both_TN
en,#wmaonedirection,#wmaonedirection,#wmaonedirection,#wmaonedirection,False,True,True,both_TN
en,#wmashakira,#wmashakira,#wmashakira,#wmashakira,False,True,True,both_TN
en,#wwatour1dfamily,#wwatour1dfamily,#wwatour1dfamily,#wwatour1dfamily,False,True,True,both_TN
en,#yelp,#yelp,#yelp,#yelp,False,True,True,both_TN
en,#youdiditniall,#youdiditniall,#youdiditniall,#youdiditniall,False,True,True,both_TN
en,#zouisblazedupfollowparty,#zouisblazedupfollowparty,#zouisblazedupfollowparty,#zouisblazedupfollowparty,False,True,True,both_TN
en,#zouispassmethatblunt,#zouispassmethatblunt,#zouispassmethatblunt,#zouispassmethatblunt,False,True,True,both_TN
en,#zouispasstheblunt,#zouispasstheblunt,#zouispasstheblunt,#zouispasstheblunt,False,True,True,both_TN
en,$9.50,$9.50,$9.50,$9.50,False,True,True,both_TN
de,%,%,%,%,False,True,True,both_TN
de,%Link,%Link,%Link,%Link,False,True,True,both_TN
de,%NegSmiley,%NegSmiley,%NegSmiley,%NegSmiley,False,True,True,both_TN
de,%NegSmileyen,%NegSmileyen,%NegSmileyen,%NegSmileyen,False,True,True,both_TN
de,%PosSmiley,%PosSmiley,%PosSmiley,%PosSmiley,False,True,True,both_TN
de,%PosSmiley1,%PosSmiley1,%PosSmiley1,%PosSmiley1,False,True,True,both_TN
de,%Smiley,%Smiley,%Smiley,%Smiley,False,True,True,both_TN
en,&,&,&,&,False,True,True,both_TN
de,&gt;,&gt;,&gt;,&gt;,False,True,True,both_TN
de,&gt;&lt;,&gt;&lt;,&gt;&lt;,&gt;&lt;,False,True,True,both_TN
de,&gt;.&lt;,&gt;.&lt;,&gt;.&lt;,&gt;.&lt;,False,True,True,both_TN
de,&lt;,&lt;,&lt;,&lt;,False,True,True,both_TN
en,',',',',False,True,True,both_TN
de,'m,dem,em,'m,True,False,False,both_wrong
de,'s,es,es,sh,True,True,False,A_only_correct
ja,(,(,(,(,False,True,True,both_TN
en,((,((,((,((,False,True,True,both_TN
en,(@,(@,(@,(@,False,True,True,both_TN
ja,(？),(？)。,(？),(？),True,False,False,both_wrong
ja,),)。,),),True,False,False,both_wrong
ja,)(,)(,)(,)(,False,True,True,both_TN
en,)),)),)),)),False,True,True,both_TN
ja,)。,)。,)。,)。,False,True,True,both_TN
ja,)「,)「,)「,)「,False,True,True,both_TN
en,*,*,*,*,False,True,True,both_TN
en,**,**,**,**,False,True,True,both_TN
en,*_*,*_*,*_*,*_*,False,True,True,both_TN
de,*g*,*g*,*g*,*g*,False,True,True,both_TN
en,+,+,+,+,False,True,True,both_TN
de,++,++,++,++,False,True,True,both_TN
en,",",",",",",",",False,True,True,both_TN
en,",.",",.",",.",",.",False,True,True,both_TN
en,",..",",..",",..",",..",False,True,True,both_TN
en,",...",",...",",...",",...",False,True,True,both_TN
en,",?",",?",",?",",?",False,True,True,both_TN
en,-,-,-,-,False,True,True,both_TN
en,--,--,--,--,False,True,True,both_TN
en,-david,-david,-david,-david,False,True,True,both_TN
en,-just,-just,-just,-just,False,True,True,both_TN
en,-liam,-liam,-liam,-liam,False,True,True,both_TN
en,-ounce,-ounce,-ounce,-ounce,False,True,True,both_TN
en,-side,-side,-side,-side,False,True,True,both_TN
en,-via,-via,-via,-via,False,True,True,both_TN
en,-y-,-y-,-y-,-y-,False,True,True,both_TN
ja,.,.,.,.,False,True,True,both_TN
en,".,",".,",".,",".,",False,True,True,both_TN
en,..,..,..,..,False,True,True,both_TN
en,...,...,...,...,False,True,True,both_TN
en,....,....,....,....,False,True,True,both_TN
en,.....,.....,.....,.....,False,True,True,both_TN
en,......,......,......,......,False,True,True,both_TN
en,........,........,........,........,False,True,True,both_TN
de,...?,...?,...?,...?,False,True,True,both_TN
de,/,/,/,/,False,True,True,both_TN
en,/8,/8,/8,/8,False,True,True,both_TN
en,0,0,0,0,False,True,True,both_TN
en,0.0,0.0,0.0,0.0,False,True,True,both_TN
en,0.6,0.6,0.6,0.6,False,True,True,both_TN
en,0.8,0.8,0.8,0.8,False,True,True,both_TN
en,0.85,0.85,0.85,0.85,False,True,True,both_TN
de,01.12.2011,01.12.2011,01.12.2011,01.12.2011,False,True,True,both_TN
en,018,018,018,018,False,True,True,both_TN
en,01:00,01:00,01:00,01:00,False,True,True,both_TN
de,02.12.2011,02.12.2011,02.12.2011,02.12.2011,False,True,True,both_TN
de,026.,026.,026.,026.,False,True,True,both_TN
en,0527,0527,0527,0527,False,True,True,both_TN
en,1,1,1,1,False,True,True,both_TN
ko,1%,1%,1%,1%,False,True,True,both_TN
en,1-2,1-2,1-2,1-2,False,True,True,both_TN
de,1.,1.,1.,1.,False,True,True,both_TN
en,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,False,True,True,both_TN
ko,10,10,10,10,False,True,True,both_TN
ja,10%,10%,10%,10%,False,True,True,both_TN
en,10.4%,10.4%,10.4%,10.4%,False,True,True,both_TN
en,10.5,10.5,10.5,10.5,False,True,True,both_TN
ja,1000,1000,1000,1000,False,True,True,both_TN
en,1000follow,1000follow,1000follow,1000follow,False,True,True,both_TN
ja,100万人,100万人,100万人,100万人,False,True,True,both_TN
ja,100万円,100万円,100万円,100万円,False,True,True,both_TN
ja,100倍,100倍,100倍,100倍,False,True,True,both_TN
en,10:00,10:00,10:00,10:00,False,True,True,both_TN
en,10th,10th,10th,10th,False,True,True,both_TN
ja,10万円,10万円,10万円,10万円,False,True,True,both_TN
ko,10년,10년,10년,10년,False,True,True,both_TN
ko,10년전,10년전,10년전,10년전,False,True,True,both_TN
en,11,11,11,11,False,True,True,both_TN
en,11:30,11:30,11:30,11:30,False,True,True,both_TN
en,11:33:04,11:33:04,11:33:04,11:33:04,False,True,True,both_TN
en,11:45,11:45,11:45,11:45,False,True,True,both_TN
en,12,12,12,12,False,True,True,both_TN
en,125th,125th,125th,125th,False,True,True,both_TN
en,12704,12704,12704,12704,False,True,True,both_TN
de,12:15,12:15,12:15,12:15,False,True,True,both_TN
en,12:45,12:45,12:45,12:45,False,True,True,both_TN
ko,12살,12살,12살,12살,False,True,True,both_TN
en,13,13,13,13,False,True,True,both_TN
en,13-inch,13-inch,13-inch,13-inch,False,True,True,both_TN
en,13-year-old,13-year-old,13-year-old,13-year-old,False,True,True,both_TN
de,13:00,13:00,13:00,13:00,False,True,True,both_TN
ja,13年前,13年前,13年前,13年前,False,True,True,both_TN
en,14,14,14,14,False,True,True,both_TN
de,14.,14.,14.,14.,False,True,True,both_TN
en,14.2%,14.2%,14.2%,14.2%,False,True,True,both_TN
en,140518,140518,140518,140518,False,True,True,both_TN
en,140523,140523,140523,140523,False,True,True,both_TN
en,140524,140524,140524,140524,False,True,True,both_TN
en,140525,140525,140525,140525,False,True,True,both_TN
en,140526,140526,140526,140526,False,True,True,both_TN
en,140528,140528,140528,140528,False,True,True,both_TN
en,140529,140529,140529,140529,False,True,True,both_TN
en,1405603,1405603,1405603,1405603,False,True,True,both_TN
en,14th,14th,14th,14th,False,True,True,both_TN
ko,15,15,15,15,False,True,True,both_TN
en,15-9,15-9,15-9,15-9,False,True,True,both_TN
en,15-day,15-day,15-day,15-day,False,True,True,both_TN
de,15.15,15.15,15.15,15.15,False,True,True,both_TN
en,16,16,16,16,False,True,True,both_TN
de,16.9,16.9,16.9,16.9,False,True,True,both_TN
ja,160円,160円,160円,160円,False,True,True,both_TN
de,170,170,170,170,False,True,True,both_TN
en,1797,1797,1797,1797,False,True,True,both_TN
en,18,18,18,18,False,True,True,both_TN
de,18:11,18:11,18:11,18:11,False,True,True,both_TN
en,18dn,18dn,18dn,18dn,False,True,True,both_TN
ko,1950년대임,1950년대임,1950년대임,1950년대임,False,True,True,both_TN
en,1996,1996,1996,1996,False,True,True,both_TN
ko,19세기,19세기,19세기,19세기,False,True,True,both_TN
de,1:1,1:1,1:1,1:1,False,True,True,both_TN
de,1:25.074,1:25.074,1:25.074,1:25.074,False,True,True,both_TN
de,1DonGermanTVtoday,1DonGermanTVtoday,1DonGermanTVtoday,1DonGermanTVtoday,False,True,True,both_TN
en,1am,1am,1am,1am,False,True,True,both_TN
en,1d,1d,1d,1d,False,True,True,both_TN
en,1hunnit,1hunnit,1hunnit,1hunnit,False,True,True,both_TN
en,1st,1st,1st,1st,False,True,True,both_TN
de,1uhr,1 Uhr,1uhr,1uhr,True,False,False,both_wrong
en,1x,1x,1x,1x,False,True,True,both_TN
en,1xtra,1xtra,1xtra,1xtra,False,True,True,both_TN
ja,1人,1人,1人,1人,False,True,True,both_TN
ja,1億,1億,1億,1億,False,True,True,both_TN
ja,1日,1日,1日,1日,False,True,True,both_TN
ja,1本,1本,1本,1本,False,True,True,both_TN
ko,1만원,1만원,1만원,1만원,False,True,True,both_TN
ko,1톱임,1톱임,1톱임,1톱임,False,True,True,both_TN
ja,2,に,2,2,True,False,False,both_wrong
en,2-2,2-2,2-2,2-2,False,True,True,both_TN
de,2.,2.,2.,2.,False,True,True,both_TN
de,2.685,2.685,2.685,2.685,False,True,True,both_TN
en,20,20,20,20,False,True,True,both_TN
en,20.40,20.40,20.40,20.40,False,True,True,both_TN
en,20.6%,20.6%,20.6%,20.6%,False,True,True,both_TN
de,200,200,200,200,False,True,True,both_TN
en,200%,200%,200%,200%,False,True,True,both_TN
en,2000,2000,2000,2000,False,True,True,both_TN
de,2009,2009,2009,2009,False,True,True,both_TN
de,2011,2011,2011,2011,False,True,True,both_TN
en,2014,2014,2014,2014,False,True,True,both_TN
en,2014-05-26t,2014-05-26t,2014-05-26t,2014-05-26t,False,True,True,both_TN
en,2015,2015,2015,2015,False,True,True,both_TN
ko,2020,2020,2020,2020,False,True,True,both_TN
ko,2021,2021,2021,2021,False,True,True,both_TN
ko,2030,2030,2030,2030,False,True,True,both_TN
de,21,21,21,21,False,True,True,both_TN
en,21-16,21-16,21-16,21-16,False,True,True,both_TN
en,23.05.2014,23.05.2014,23.05.2014,23.05.2014,False,True,True,both_TN
en,24,24,24,24,False,True,True,both_TN
en,24/05/2014,24/05/2014,24/05/2014,24/05/2014,False,True,True,both_TN
en,25%,25%,25%,25%,False,True,True,both_TN
ja,25t,25t,25t,25t,False,True,True,both_TN
en,27-4-2014,27-4-2014,27-4-2014,27-4-2014,False,True,True,both_TN
en,270,270,270,270,False,True,True,both_TN
en,28,28,28,28,False,True,True,both_TN
en,28th,28th,28th,28th,False,True,True,both_TN
ko,29,29,29,29,False,True,True,both_TN
en,29/04/2014,29/04/2014,29/04/2014,29/04/2014,False,True,True,both_TN
en,29640,29640,29640,29640,False,True,True,both_TN
ja,29度,29度,29度,29度,False,True,True,both_TN
ko,2B로,2B로,2B로,2B로,False,True,True,both_TN
ko,2B이랑만,2B이랑만,2B이랑만,2B이랑만,False,True,True,both_TN
en,2a98eebc,2a98eebc,2a98eebc,2a98eebc,False,True,True,both_TN
en,2b806641,2b806641,2b806641,2b806641,False,True,True,both_TN
en,2days,2days,2days,2days,False,True,True,both_TN
en,2nd,2nd,2nd,2nd,False,True,True,both_TN
en,2ne1,2ne1,2ne1,2ne1,False,True,True,both_TN
de,2teiliges,2teiliges,2teiliges,2teiliges,False,True,True,both_TN
en,2yrs,2yrs,2yrs,2yrs,False,True,True,both_TN
ja,2ちゃん,2ちゃんねる,2ちゃん,2ちゃん,True,False,False,both_wrong
ja,2倍,2倍,2倍,2倍,False,True,True,both_TN
ja,2本,2本,2本,2本,False,True,True,both_TN
ja,2杯目,2杯目,2杯目,2杯目,False,True,True,both_TN
ja,2週間,2週間,2週間,2週間,False,True,True,both_TN
ko,2번째,2번째,2번째,2번째,False,True,True,both_TN
ko,3,3,3,3,False,True,True,both_TN
en,3-1,3-1,3-1,3-1,False,True,True,both_TN
en,30/1,30/1,30/1,30/1,False,True,True,both_TN
ja,3000,3000,3000,3000,False,True,True,both_TN
en,300rb,300rb,300rb,300rb,False,True,True,both_TN
de,3333,3333,3333,3333,False,True,True,both_TN
de,34,34,34,34,False,True,True,both_TN
de,350,350,350,350,False,True,True,both_TN
de,35:28,35:28,35:28,35:28,False,True,True,both_TN
en,370,370,370,370,False,True,True,both_TN
en,3h48m40s,3h48m40s,3h48m40s,3h48m40s,False,True,True,both_TN
en,3volution,3volution,3volution,3volution,False,True,True,both_TN
ja,3年,3年,3年,3年,False,True,True,both_TN
ja,3時間,3時間,3時間,3時間,False,True,True,both_TN
ko,3개,3개,3개,3개,False,True,True,both_TN
ko,3개월,3개월,3개월,3개월,False,True,True,both_TN
ko,3명,3명,3명,3명,False,True,True,both_TN
ko,4,4,4,4,False,True,True,both_TN
en,4-3-3,4-3-3,4-3-3,4-3-3,False,True,True,both_TN
en,4-4-2,4-4-2,4-4-2,4-4-2,False,True,True,both_TN
de,4.4,4.4,4.4,4.4,False,True,True,both_TN
de,40,40,40,40,False,True,True,both_TN
ko,4050,4050,4050,4050,False,True,True,both_TN
de,40h,40h,40h,40h,False,True,True,both_TN
en,452740,452740,452740,452740,False,True,True,both_TN
en,45rb,45rb,45rb,45rb,False,True,True,both_TN
en,4711,4711,4711,4711,False,True,True,both_TN
en,4888759250190336,4888759250190336,4888759250190336,4888759250190336,False,True,True,both_TN
en,492,492,492,492,False,True,True,both_TN
en,4g,4g,4g,4g,False,True,True,both_TN
en,4part,4part,4part,4part,False,True,True,both_TN
en,4th,4th,4th,4th,False,True,True,both_TN
ko,4년제,4년제,4년제,4년제,False,True,True,both_TN
en,5,5,5,5,False,True,True,both_TN
en,5/28-6/2,5/28-6/2,5/28-6/2,5/28-6/2,False,True,True,both_TN
en,5/28/14,5/28/14,5/28/14,5/28/14,False,True,True,both_TN
en,500,500,500,500,False,True,True,both_TN
ja,500位,500位,500位,500位,False,True,True,both_TN
en,50mm,50mm,50mm,50mm,False,True,True,both_TN
en,"51,387","51,387","51,387","51,387",False,True,True,both_TN
en,51434,51434,51434,51434,False,True,True,both_TN
en,55.3,55.3,55.3,55.3,False,True,True,both_TN
en,56.1,56.1,56.1,56.1,False,True,True,both_TN
en,5am,5am,5am,5am,False,True,True,both_TN
en,5hs,5hs,5hs,5hs,False,True,True,both_TN
en,5sos,5sos,5sos,5sos,False,True,True,both_TN
en,5th,5th,5th,5th,False,True,True,both_TN
ja,5倍,5倍,5倍,5倍,False,True,True,both_TN
ja,5日,5日,5日,5日,False,True,True,both_TN
ja,5月,5月,5月,5月,False,True,True,both_TN
en,6,6,6,6,False,True,True,both_TN
en,6%,6%,6%,6%,False,True,True,both_TN
en,60-1,60-1,60-1,60-1,False,True,True,both_TN
en,60w,60w,60w,60w,False,True,True,both_TN
de,61,61,61,61,False,True,True,both_TN
en,6121,6121,6121,6121,False,True,True,both_TN
en,62%,62%,62%,62%,False,True,True,both_TN
ja,62日,62日,62日,62日,False,True,True,both_TN
en,630,630,630,630,False,True,True,both_TN
ko,64년생,64년생,64년생,64년생,False,True,True,both_TN
en,67,67,67,67,False,True,True,both_TN
de,67.,67.,67.,67.,False,True,True,both_TN
en,68.9,68.9,68.9,68.9,False,True,True,both_TN
de,6x,6x,6x,6x,False,True,True,both_TN
ja,6月,6月,6月,6月,False,True,True,both_TN
en,7,7,7,7,False,True,True,both_TN
en,7520,7520,7520,7520,False,True,True,both_TN
en,7cec2ffe,7cec2ffe,7cec2ffe,7cec2ffe,False,True,True,both_TN
ja,7年,7年,7年,7年,False,True,True,both_TN
en,8,8,8,8,False,True,True,both_TN
en,80%,80%,80%,80%,False,True,True,both_TN
de,8000,8000,8000,8000,False,True,True,both_TN
de,80h,80h,80h,80h,False,True,True,both_TN
en,80rb,80rb,80rb,80rb,False,True,True,both_TN
ko,80대,80대,80대,80대,False,True,True,both_TN
en,82,82,82,82,False,True,True,both_TN
en,845,845,845,845,False,True,True,both_TN
de,8t,8t,8t,8t,False,True,True,both_TN
en,8x10,8x10,8x10,8x10,False,True,True,both_TN
ja,8時,8時,8時,8時,False,True,True,both_TN
en,9,9,9,9,False,True,True,both_TN
en,9.3%,9.3%,9.3%,9.3%,False,True,True,both_TN
en,924,924,924,924,False,True,True,both_TN
de,925,925,925,925,False,True,True,both_TN
en,95,95,95,95,False,True,True,both_TN
de,96,96,96,96,False,True,True,both_TN
en,9am,9am,9am,9am,False,True,True,both_TN
en,:,:,:,:,False,True,True,both_TN
de,:'D,:'D,:'D,:'D,False,True,True,both_TN
en,:(,:(,:(,:(,False,True,True,both_TN
en,:),:),:),:),False,True,True,both_TN
de,:)),:)),:)),:)),False,True,True,both_TN
en,:-p,:-p,:-p,:-p,False,True,True,both_TN
en,::,::,::,::,False,True,True,both_TN
de,:D,:D,:D,:D,False,True,True,both_TN
en,:d,:d,:d,:d,False,True,True,both_TN
en,:p,:p,:p,:p,False,True,True,both_TN
en,:v,:v,:v,:v,False,True,True,both_TN
en,:|,:|,:|,:|,False,True,True,both_TN
en,;,;,;,;,False,True,True,both_TN
en,;),;),;),;),False,True,True,both_TN
en,;)),;)),;)),;)),False,True,True,both_TN
de,;-),;-),;-),;-),False,True,True,both_TN
en,;;,;;,;;,;;,False,True,True,both_TN
en,<,<,<,<,False,True,True,both_TN
en,<3,<3,<3,<3,False,True,True,both_TN
ja,=,=,=,=,False,True,True,both_TN
en,>,>,>,>,False,True,True,both_TN
en,?,?,?,?,False,True,True,both_TN
en,?!,?!,?!,?!,False,True,True,both_TN
en,??,??,??,??,False,True,True,both_TN
en,???,???,???,???,False,True,True,both_TN
en,??????,??????,??????,??????,False,True,True,both_TN
en,@1dfamlly,@1dfamlly,@1dfamlly,@1dfamlly,False,True,True,both_TN
en,@1dupdatebra,@1dupdatebra,@1dupdatebra,@1dupdatebra,False,True,True,both_TN
en,@230cutie,@230cutie,@230cutie,@230cutie,False,True,True,both_TN
en,@24_linn,@24_linn,@24_linn,@24_linn,False,True,True,both_TN
en,@30th_geminibaby,@30th_geminibaby,@30th_geminibaby,@30th_geminibaby,False,True,True,both_TN
de,@YouTube,@YouTube,@YouTube,@YouTube,False,True,True,both_TN
en,@____vasquez,@____vasquez,@____vasquez,@____vasquez,False,True,True,both_TN
en,@___winning__,@___winning__,@___winning__,@___winning__,False,True,True,both_TN
en,@__nylagrace,@__nylagrace,@__nylagrace,@__nylagrace,False,True,True,both_TN
en,@_aliwatson,@_aliwatson,@_aliwatson,@_aliwatson,False,True,True,both_TN
en,@_amariw,@_amariw,@_amariw,@_amariw,False,True,True,both_TN
en,@_annetteeeb,@_annetteeeb,@_annetteeeb,@_annetteeeb,False,True,True,both_TN
en,@_astrayed,@_astrayed,@_astrayed,@_astrayed,False,True,True,both_TN
en,@_celebrt,@_celebrt,@_celebrt,@_celebrt,False,True,True,both_TN
en,@_czarinaaa,@_czarinaaa,@_czarinaaa,@_czarinaaa,False,True,True,both_TN
en,@_fameca,@_fameca,@_fameca,@_fameca,False,True,True,both_TN
en,@_iam_nobody,@_iam_nobody,@_iam_nobody,@_iam_nobody,False,True,True,both_TN
